batch_size,blocks,buffer_size,gamma,horizon,kd_beta,kd_temperature,lr,method,pilot,recycle_fraction,run_id,seed,skew_probabilities,sleep_updates,total_updates,updates_per_block,width
64,30,500,0.9,10,1.0,2.0,0.001,offline_mixture,A,0.2,e745e68757de51e3,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,10
64,30,500,0.9,10,1.0,2.0,0.001,offline_mixture,A,0.2,9d3d452bd12d9966,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,10
64,30,500,0.9,10,1.0,2.0,0.001,ER,A,0.2,7e33aec120205e92,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,10
64,30,500,0.9,10,1.0,2.0,0.001,ER,A,0.2,7610e0171520c5cc,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,10
64,30,500,0.9,10,1.0,2.0,0.001,periodic_full_reset,A,0.2,e4e918faaa750b5e,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,10
64,30,500,0.9,10,1.0,2.0,0.001,periodic_full_reset,A,0.2,d694251bfb5ad778,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,10
64,30,500,0.9,10,1.0,2.0,0.001,offline_mixture,A,0.2,687b36d73238d42f,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,25
64,30,500,0.9,10,1.0,2.0,0.001,offline_mixture,A,0.2,bf36c12a15594d37,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,25
64,30,500,0.9,10,1.0,2.0,0.001,ER,A,0.2,0c76f3a4ce2d0743,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,25
64,30,500,0.9,10,1.0,2.0,0.001,ER,A,0.2,511f30bfc97709c4,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,25
64,30,500,0.9,10,1.0,2.0,0.001,periodic_full_reset,A,0.2,6c9545a6eb0f13d4,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,25
64,30,500,0.9,10,1.0,2.0,0.001,periodic_full_reset,A,0.2,0ffb0eba414a1927,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,25
64,30,500,0.9,10,1.0,2.0,0.001,offline_mixture,A,0.2,a6733f29b5df0987,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,offline_mixture,A,0.2,47b1e4a73cbaf23f,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,ER,A,0.2,7706c59bb1d31768,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,ER,A,0.2,e1c7878cb68ee63d,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,periodic_full_reset,A,0.2,95df3d001f94b096,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,periodic_full_reset,A,0.2,9bd569badbdc9ab7,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,offline_mixture,A,0.2,5958c3ab779f15b8,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,100
64,30,500,0.9,10,1.0,2.0,0.001,offline_mixture,A,0.2,c24315c320867d80,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,100
64,30,500,0.9,10,1.0,2.0,0.001,ER,A,0.2,4a4c28ac2e899db7,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,100
64,30,500,0.9,10,1.0,2.0,0.001,ER,A,0.2,c8db4d42d389769d,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,100
64,30,500,0.9,10,1.0,2.0,0.001,periodic_full_reset,A,0.2,f78b06610218bf19,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,100
64,30,500,0.9,10,1.0,2.0,0.001,periodic_full_reset,A,0.2,e7cda1ff53a08a71,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,100
