batch_size,blocks,buffer_size,gamma,horizon,kd_beta,kd_temperature,lr,method,pilot,recycle_fraction,run_id,seed,skew_probabilities,sleep_updates,total_updates,updates_per_block,width
64,30,500,0.9,10,1.0,2.0,0.001,ER,E,0.2,8ea388c4f75ae8d0,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,ER,E,0.2,b9c6c8b67d2e8daa,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,ER,E,0.2,8832a0f20b1522cd,2,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,ER_compute_matched,E,0.2,3070dbd6fca44a88,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,ER_compute_matched,E,0.2,f79c436b8ff9d391,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,ER_compute_matched,E,0.2,0b0e9cc625af22a2,2,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,random_recycling,E,0.2,247203111da874c1,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,random_recycling,E,0.2,b6c801ede52a0fd6,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,random_recycling,E,0.2,2be1d08503583ad2,2,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,oracle_ReCAP,E,0.2,c6e4f020e4a8e8ad,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,oracle_ReCAP,E,0.2,9ec9e1fbdbba9b0f,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,oracle_ReCAP,E,0.2,50e0c0ad9166cf47,2,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
