method,seed,width,run_id,final_mixture_accuracy,lifetime_preupdate_accuracy,updates
ER,0,10,7e33aec120205e92,0.7645,0.6780694444444444,4500
ER,0,25,0c76f3a4ce2d0743,0.8585,0.8063993055555555,4500
ER,0,50,7706c59bb1d31768,0.88,0.8354548611111111,4500
ER,0,100,4a4c28ac2e899db7,0.919,0.8605868055555556,4500
ER,1,10,7610e0171520c5cc,0.758,0.7066388888888889,4500
ER,1,25,511f30bfc97709c4,0.863,0.8038333333333333,4500
ER,1,50,e1c7878cb68ee63d,0.896,0.8353402777777778,4500
ER,1,100,c8db4d42d389769d,0.9195,0.8585729166666667,4500
offline_mixture,0,10,e745e68757de51e3,0.8405,0.7591840277777778,4500
offline_mixture,0,25,687b36d73238d42f,0.8835,0.83725,4500
offline_mixture,0,50,a6733f29b5df0987,0.917,0.8645416666666667,4500
offline_mixture,0,100,5958c3ab779f15b8,0.9355,0.8882256944444444,4500
offline_mixture,1,10,9d3d452bd12d9966,0.8425,0.75440625,4500
offline_mixture,1,25,bf36c12a15594d37,0.893,0.8307251602564103,3900
offline_mixture,1,50,47b1e4a73cbaf23f,0.912,0.853457532051282,3900
offline_mixture,1,100,c24315c320867d80,0.933,0.8790024038461538,3900
periodic_full_reset,0,10,e4e918faaa750b5e,0.6915,0.5796076388888889,4500
periodic_full_reset,0,25,6c9545a6eb0f13d4,0.726,0.7162152777777778,4500
periodic_full_reset,0,50,95df3d001f94b096,0.7725,0.7739201388888889,4500
periodic_full_reset,0,100,f78b06610218bf19,0.789,0.8043020833333333,4500
periodic_full_reset,1,10,d694251bfb5ad778,0.624,0.5538298611111111,4500
periodic_full_reset,1,25,0ffb0eba414a1927,0.723,0.7237291666666666,4500
periodic_full_reset,1,50,9bd569badbdc9ab7,0.751,0.7737951388888888,4500
periodic_full_reset,1,100,e7cda1ff53a08a71,0.758,0.8050243055555556,4500
